Year,ASPUS
1963,19375.0
1964,20300.0
1965,21450.0
1966,22925.0
1967,24125.0
1968,26425.0
1969,27725.0
1970,26650.0
1971,28100.0
1972,30075.0
1973,35100.0
1974,38725.0
1975,42525.0
1976,48050.0
1977,54350.0
1978,62700.0
1979,71900.0
1980,76375.0
1981,83175.0
1982,83850.0
1983,89775.0
1984,97550.0
1985,100825.0
1986,112075.0
1987,127575.0
1988,138650.0
1989,148125.0
1990,149075.0
1991,147275.0
1992,144675.0
1993,147475.0
1994,154175.0
1995,157750.0
1996,165525.0
1997,174875.0
1998,181150.0
1999,194675.0
2000,205375.0
2001,211050.0
2002,226700.0
2003,244550.0
2004,272125.0
2005,291275.0
2006,303900.0
2007,309800.0
2008,289075.0
2009,269350.0
2010,272025.0
2011,264600.0
2012,288225.0
2013,321650.0
2014,345450.0
2015,350450.0
2016,359650.0
2017,381150.0
2018,382475.0
2019,379875.0
2020,387900.0
2021,452675.0
2022,516425.0
2023,507125.0
2024,507875.0
2025,513500.0
