Year,Average Sale Price of Houses Sold,Average Wage Index,Average Egg Prices by Year*,Price Change of Houses ,Percentage Change of House Prices,Price Change of Eggs,Percentage Change of Egg Prices,Wage Change,Percentage Wage Change
1951,,"$2,799.16",,,,,,,
1952,,"$2,973.32",,0,0.00%,0,0.00%,$174.16,5.86%
1953,,"$3,139.44",,0,0.00%,0,0.00%,$166.12,5.29%
1954,,"$3,155.64",,0,0.00%,0,0.00%,$16.20,0.51%
1955,,"$3,301.44",,0,0.00%,0,0.00%,$145.80,4.42%
1956,,"$3,532.36",,0,0.00%,0,0.00%,$230.92,6.54%
1957,,"$3,641.72",,0,0.00%,0,0.00%,$109.36,3.00%
1958,,"$3,673.80",,0,0.00%,0,0.00%,$32.08,0.87%
1959,,"$3,855.80",,0,0.00%,0,0.00%,$182.00,4.72%
1960,,"$4,007.12",,0,0.00%,0,0.00%,$151.32,3.78%
1961,,"$4,086.76",,0,0.00%,0,0.00%,$79.64,1.95%
1962,,"$4,291.40",,0,0.00%,0,0.00%,$204.64,4.77%
1963,"$19,375.00","$4,396.64",,0,0.00%,0,0.00%,$105.24,2.39%
1964,"$20,300.00","$4,576.32",,$925.00,4.56%,0,0.00%,$179.68,3.93%
1965,"$21,450.00","$4,658.72",,"$1,150.00",5.36%,0,0.00%,$82.40,1.77%
1966,"$22,925.00","$4,938.36",,"$1,475.00",6.43%,0,0.00%,$279.64,5.66%
1967,"$24,125.00","$5,213.44",,"$1,200.00",4.97%,0,0.00%,$275.08,5.28%
1968,"$26,425.00","$5,571.76",,"$2,300.00",8.70%,0,0.00%,$358.32,6.43%
1969,"$27,725.00","$5,893.76",,"$1,300.00",4.69%,0,0.00%,$322.00,5.46%
1970,"$26,650.00","$6,186.24",,"-$1,075.00",-4.03%,0,0.00%,$292.48,4.73%
1971,"$28,100.00","$6,497.08",,"$1,450.00",5.16%,0,0.00%,$310.84,4.78%
1972,"$30,075.00","$7,133.80",,"$1,975.00",6.57%,0,0.00%,$636.72,8.93%
1973,"$35,100.00","$7,580.16",,"$5,025.00",14.32%,0,0.00%,$446.36,5.89%
1974,"$38,725.00","$8,030.76",,"$3,625.00",9.36%,0,0.00%,$450.60,5.61%
1975,"$42,525.00","$8,630.92",,"$3,800.00",8.94%,0,0.00%,$600.16,6.95%
1976,"$48,050.00","$9,226.48",,"$5,525.00",11.50%,0,0.00%,$595.56,6.45%
1977,"$54,350.00","$9,779.44",,"$6,300.00",11.59%,0,0.00%,$552.96,5.65%
