Year,Average Egg Prices by Year*
1980,$0.84
1981,$0.90
1982,$0.87
1983,$0.89
1984,$1.00
1985,$0.80
1986,$0.87
1987,$0.78
1988,$0.79
1989,$1.00
1990,$1.01
1991,$0.99
1992,$0.86
1993,$0.91
1994,$0.86
1995,$0.92
1996,$1.11
1997,$1.06
1998,$1.04
1999,$0.96
2000,$0.91
2001,$0.93
2002,$1.03
2003,$1.24
2004,$1.34
2005,$1.22
2006,$1.31
2007,$1.68
2008,$1.99
2009,$1.66
2010,$1.66
2011,$1.77
2012,$1.84
2013,$1.91
2014,$2.02
2015,$2.47
2016,$1.68
2017,$1.47
2018,$1.74
2019,$1.40
2020,$1.51
2021,$1.67
2022,$2.86
