Year,ASPUS,Index,Average Egg Prices by Year*
1951,,"2,799.16",
1952,,"2,973.32",
1953,,"3,139.44",
1954,,"3,155.64",
1955,,"3,301.44",
1956,,"3,532.36",
1957,,"3,641.72",
1958,,"3,673.80",
1959,,"3,855.80",
1960,,"4,007.12",
1961,,"4,086.76",
1962,,"4,291.40",
1963,19375.0,"4,396.64",
1964,20300.0,"4,576.32",
1965,21450.0,"4,658.72",
1966,22925.0,"4,938.36",
1967,24125.0,"5,213.44",
1968,26425.0,"5,571.76",
1969,27725.0,"5,893.76",
1970,26650.0,"6,186.24",
1971,28100.0,"6,497.08",
1972,30075.0,"7,133.80",
1973,35100.0,"7,580.16",
1974,38725.0,"8,030.76",
1975,42525.0,"8,630.92",
1976,48050.0,"9,226.48",
1977,54350.0,"9,779.44",
1978,62700.0,"10,556.03",
1979,71900.0,"11,479.46",
1980,76375.0,"12,513.46",$0.84
1981,83175.0,"13,773.10",$0.90
1982,83850.0,"14,531.34",$0.87
1983,89775.0,"15,239.24",$0.89
1984,97550.0,"16,135.07",$1.00
1985,100825.0,"16,822.51",$0.80
1986,112075.0,"17,321.82",$0.87
1987,127575.0,"18,426.51",$0.78
1988,138650.0,"19,334.04",$0.79
1989,148125.0,"20,099.55",$1.00
1990,149075.0,"21,027.98",$1.01
1991,147275.0,"21,811.60",$0.99
1992,144675.0,"22,935.42",$0.86
1993,147475.0,"23,132.67",$0.91
1994,154175.0,"23,753.53",$0.86
1995,157750.0,"24,705.66",$0.92
1996,165525.0,"25,913.90",$1.11
1997,174875.0,"27,426.00",$1.06
1998,181150.0,"28,861.44",$1.04
1999,194675.0,"30,469.84",$0.96
2000,205375.0,"32,154.82",$0.91
2001,211050.0,"32,921.92",$0.93
2002,226700.0,"33,252.09",$1.03
2003,244550.0,"34,064.95",$1.24
2004,272125.0,"35,648.55",$1.34
2005,291275.0,"36,952.94",$1.22
2006,303900.0,"38,651.41",$1.31
2007,309800.0,"40,405.48",$1.68
2008,289075.0,"41,334.97",$1.99
2009,269350.0,"40,711.61",$1.66
2010,272025.0,"41,673.83",$1.66
2011,264600.0,"42,979.61",$1.77
2012,288225.0,"44,321.67",$1.84
2013,321650.0,"44,888.16",$1.91
2014,345450.0,"46,481.52",$2.02
2015,350450.0,"48,098.63",$2.47
2016,359650.0,"48,642.15",$1.68
2017,381150.0,"50,321.89",$1.47
2018,382475.0,"52,145.80",$1.74
2019,379875.0,"54,099.99",$1.40
2020,387900.0,"55,628.60",$1.51
2021,452675.0,"60,575.07",$1.67
2022,516425.0,"63,795.13",$2.86
2023,507125.0,"66,621.80",
2024,507875.0,"69,846.57",
2025,513500.0,,
